01-11 16:46:26.263 25729  4598 D HONFecService: output: groupId=6719, index=3, length=64
01-11 16:46:26.265 25729  4606 D HONFecService: output: groupId=6719, index=4, length=64
01-11 16:46:26.265 25729  7442 D HONFecService: input: groupId=7380, index=2, length=1452
01-11 16:46:26.267 25729  4593 D HONFecService: output: groupId=6720, index=0, length=64
01-11 16:46:26.268 25729  4600 D HONFecService: input: groupId=7380, index=3, length=1452
01-11 16:46:26.271 25729  7445 D HONFecService: output: groupId=6720, index=1, length=52
01-11 16:46:26.277 25729  4605 D HONFecService: output: groupId=6720, index=2, length=132
01-11 16:46:26.306 25729  4631 D HONFecService: input: groupId=7380, index=4, length=52
01-11 16:46:26.308 25729  4609 D HONFecService: output: groupId=6720, index=3, length=1199
01-11 16:46:26.308 25729  4605 D HONFecService: input: groupId=7381, index=0, length=339
01-11 16:46:26.309 25729  4605 D HONFecService: input: groupId=7381, index=1, length=339
01-11 16:46:26.315 25729  7442 D HONFecService: output: groupId=6720, index=4, length=52
01-11 16:46:26.317 25729  4609 D HONFecService: output: groupId=6721, index=0, length=52
01-11 16:46:26.341 25729  7444 D HONFecService: input: groupId=7381, index=2, length=52
01-11 16:46:26.345 25729  7442 D HONFecService: input: groupId=7381, index=3, length=1452
01-11 16:46:26.348 25729  4609 D HONFecService: output: groupId=6721, index=1, length=52
01-11 16:46:26.354 25729  6200 D HONFecService: input: groupId=7381, index=4, length=1452
01-11 16:46:26.357 25729  4599 D HONFecService: output: groupId=6721, index=2, length=52
01-11 16:46:26.359 25729  4605 D HONFecService: input: groupId=7382, index=0, length=1452
01-11 16:46:26.362 25729  7443 D HONFecService: output: groupId=6721, index=3, length=52
01-11 16:46:26.366 25729  4605 D HONFecService: input: groupId=7382, index=1, length=1452
01-11 16:46:26.367 25729  4605 D HONFecService: input: groupId=7382, index=2, length=1452
01-11 16:46:26.369 25729  4606 D HONFecService: output: groupId=6721, index=4, length=52
01-11 16:46:26.369 25729  7444 D HONFecService: input: groupId=7382, index=3, length=1452
01-11 16:46:26.370 25729  7444 D HONFecService: input: groupId=7382, index=4, length=1452
01-11 16:46:26.372 25729  4606 D HONFecService: input: groupId=7383, index=0, length=1452
01-11 16:46:26.373 25729  4605 D HONFecService: output: groupId=6722, index=0, length=52
01-11 16:46:26.374 25729  4601 D HONFecService: output: groupId=6722, index=1, length=52
