01-11 18:30:24.893 25729 21034 D HONFecService: input: groupId=4641, index=4, length=1452
01-11 18:30:24.893 25729  4593 D HONFecService: input: groupId=4642, index=0, length=1452
01-11 18:30:24.896 25729 24541 D HONFecService: input: groupId=4642, index=1, length=1452
01-11 18:30:24.896 25729 21038 D HONFecService: output: groupId=3057, index=3, length=99
01-11 18:30:24.898 25729 21070 D HONFecService: output: groupId=3057, index=4, length=52
01-11 18:30:24.898 25729 24050 D HONFecService: input: groupId=4642, index=2, length=1452
01-11 18:30:24.899 25729 21070 D HONFecService: output: groupId=3058, index=0, length=52
01-11 18:30:24.899 25729 24050 D HONFecService: input: groupId=4642, index=3, length=1452
01-11 18:30:24.900 25729  4605 D HONFecService: output: groupId=3058, index=1, length=40
01-11 18:30:24.900 25729 24050 D HONFecService: input: groupId=4642, index=4, length=1452
01-11 18:30:24.901 25729  6200 D HONFecService: input: groupId=4643, index=0, length=1452
01-11 18:30:24.901 25729 24415 D HONFecService: output: groupId=3058, index=2, length=40
01-11 18:30:24.904 25729 24576 D HONFecService: input: groupId=4643, index=1, length=1117
01-11 18:30:24.905 25729 21070 D HONFecService: output: groupId=3058, index=3, length=52
01-11 18:30:24.906 25729  4593 D HONFecService: input: groupId=4643, index=2, length=1390
01-11 18:30:24.908 25729 21036 D HONFecService: input: groupId=4643, index=3, length=1390
01-11 18:30:24.908 25729 24416 D HONFecService: output: groupId=3058, index=4, length=40
01-11 18:30:24.908 25729 21036 D HONFecService: input: groupId=4643, index=4, length=1452
01-11 18:30:24.909 25729 24050 D HONFecService: output: groupId=3059, index=0, length=40
01-11 18:30:24.911 25729 24541 D HONFecService: input: groupId=4644, index=0, length=52
01-11 18:30:24.911 25729 24541 D HONFecService: output: groupId=3059, index=1, length=52
01-11 18:30:24.914 25729 24459 D HONFecService: output: groupId=3059, index=2, length=52
01-11 18:30:24.915 25729 21065 D HONFecService: input: groupId=4644, index=1, length=330
01-11 18:30:24.915 25729 21065 D HONFecService: input: groupId=4644, index=2, length=109
